"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310","","","","",""
"      Manteiga","0.351","0.185","0.200","0.243","0.421","0.579","1.486","","","","",""
"      Outros","0.101","0.042","0.057","0.099","0.143","0.154","0.282","","","","",""
"Açúcares, doces e produtos de confeitaria","14.140","12.787","13.691","14.373","14.381","15.399","17.023","","","","",""
"   Açúcares","10.827","11.251","11.439","11.342","10.022","9.209","8.605","","","","",""
"      Açúcar cristal","6.048","6.269","6.684","6.635","5.618","4.149","3.491","","","","",""
"      Açúcar demerara","0.176","0.054","0.124","0.120","0.276","0.337","0.621","","","","",""
"      Açúcar não especificado","0.862","1.272","1.118","0.608","0.605","0.952","0.532","","","","",""
"      Açúcar refinado","3.704","3.640","3.491","3.952","3.475","3.712","3.796","","","","",""
"      Outros","0.037","0.015","0.021","0.028","0.047","0.058","0.165","","","","",""
"   Doces e produtos de confeitaria","2.394","1.097","1.559","2.119","3.219","4.614","6.370","","","","",""
"      Bombom","0.153","0.054","0.085","0.149","0.258","0.339","0.268","","","","",""
"      Chocolate em tablete","0.213","0.049","0.105","0.166","0.301","0.494","0.824","","","","",""
"      Doce a base de leite","0.095","0.046","0.070","0.103","0.133","0.141","0.148","","","","",""
"      Doce de fruta cristalizado","0.007","0.001","0.008","0.008","0.007","0.006","0.027","","","","",""
"      Doce de fruta em calda","0.030","0.013","0.014","0.027","0.052","0.053","0.081","","","","",""
"      Doce de fruta em pasta","0.193","0.089","0.176","0.182","0.219","0.343","0.444","","","","",""
"      Rapadura","0.054","0.050","0.067","0.035","0.038","0.041","0.185","","","","",""
"      Sorvete","0.882","0.289","0.442","0.826","1.361","1.813","2.350","","","","",""
"      Outros","0.766","0.506","0.591","0.623","0.851","1.384","2.044","","","","",""
"   Outros açúcares, doces e produtos de confeitaria","0.919","0.440","0.694","0.912","1.140","1.577","2.047","","","","",""
"      Chocolate em pó","0.607","0.322","0.468","0.619","0.802","1.018","1.044","","","","",""
