"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
   Doces e produtos de confeitaria,"1,203","0,701","0,863","1,217","1,227","4,470","6,056"
      Bombom,"0,058","0,025","0,099","0,051","0,115","0,068","0,071"
      Chocolate em tablete,"0,074","0,047","0,046","0,045","0,263","0,194","0,133"
      Doce a base de leite,"0,042","0,031","0,056","0,043","0,008","0,034","0,201"
      Doce de fruta cristalizado,"0,002",-,-,"0,004",-,"0,006","0,014"
      Doce de fruta em calda,"0,007","0,003","0,000","0,019","0,005","0,013",-
      Doce de fruta em pasta,"0,151","0,060","0,053","0,117","0,076","1,801","0,700"
      Rapadura,"0,022","0,008","0,062","0,012",-,-,"0,100"
      Sorvete,"0,408","0,197","0,155","0,381","0,417","1,736","3,612"
      Outros,"0,438","0,331","0,390","0,545","0,342","0,617","1,226"
"   Outros açúcares, doces e produtos de confeitaria","0,708","0,378","0,588","0,677","1,266","2,120","2,567"
      Chocolate em pó,"0,308","0,223","0,234","0,368","0,520","0,580","0,352"
      Gelatina,"0,008","0,004","0,007","0,016","0,001","0,004","0,036"
      Mel de abelha,"0,006","0,003","0,006",-,"0,015","0,019","0,047"
      Polpa de fruta,"0,384","0,148","0,341","0,290","0,729","1,509","2,133"
      Outros,"0,001","0,000",-,"0,003",-,"0,008",-
Sais e condimentos,"3,285","2,781","2,814","3,654","4,639","4,107","4,107"
   Sais,"1,632","1,709","1,494","1,685","1,726","1,432","1,060"
      Sal grosso,"0,171","0,142","0,132","0,147","0,382","0,366","0,105"
      Sal refinado,"1,453","1,559","1,361","1,527","1,323","1,047","0,955"
      Outros,"0,009","0,008","0,001","0,011","0,021","0,019",-
   Condimentos,"1,653","1,073","1,320","1,969","2,913","2,674","3,047"
      Caldo de carne em tablete,"0,005","0,003","0,006","0,006","0,008","0,006","0,004"
      Caldo de galinha em tablete,"0,009","0,004","0,013","0,011","0,015","0,001","0,008"
      Outros caldos em tablete,"0,006","0,009","0,000","0,005","0,015","0,003","0,008"
      Colorau,"0,097","0,096","0,102","0,085","0,167","0,033","0,041"
      Fermento,"0,017","0,013","0,014","0,021","0,020","0,017","0,019"
      Leite de coco,"0,037","0,025","0,045","0,035","0,055","0,049","0,074"
      Maionese,"0,128","0,058","0,086","0,156","0,336","0,260","0,184"
      Massa de tomate,"0,171","0,137","0,140","0,172","0,208","0,211","0,634"
      Molho de tomate,"0,291","0,166","0,181","0,292","0,613","1,070","0,711"
      Tempero misto,"0,095","0,071","0,129","0,097","0,092","0,150","0,089"
      Vinagre de álcool,"0,358","0,265","0,273","0,426","0,720","0,259","0,408"
      Vinagre de vinho,"0,028","0,016","0,039","0,018",-,"0,146","0,160"
      Vinagre não especificado,"0,081","0,055","0,060","0,100","0,129","0,105","0,179"
