"Alimento","Região Nordeste",Maranhão,Piauí,Ceará,"Rio Grande do Norte",Paraíba,"Pernambuco",Alagoas,Sergipe,Bahia
      Carne moída,"0,143","0,183","0,341","0,283","0,062","0,076","0,183","0,084","0,011","0,039"
      Carne não especificada,"2,081","2,530","4,537","1,796","0,774","1,576","0,801","1,119","1,610","3,048"
      Chã de dentro,"0,389","0,161","0,485","0,244","0,493","0,366","0,712","0,117","0,308","0,415"
      Contrafilé,"0,355","0,697","0,290","0,394","0,291","0,197","0,350","0,221","0,279","0,286"
      Filé-mignon,"0,050","0,048","0,218","0,020","0,037","0,013","0,059","0,040","0,060","0,040"
      Lagarto comum,"0,097","0,011","0,216","0,041","0,282","0,049","0,028","0,009","0,112","0,175"
      Lagarto redondo,"0,026","0,035","0,004",-,"0,010","0,035","0,002",-,-,"0,069"
      Patinho,"0,199","0,302","0,080","0,239","0,312","0,274","0,224","0,035","0,176","0,129"
   Carnes bovinas de segunda,"4,221","5,312","3,817","2,379","3,579","3,130","3,853","2,092","7,747","5,535"
      Acém,"0,319","0,225","0,133","0,324","0,459","0,207","0,408","0,275","0,512","0,324"
      Capa de filé,"0,065","0,006","0,065","0,036","0,152","0,003","0,070","0,046","0,049","0,109"
      Carne moída,"0,123","0,098","0,157","0,070","0,105","0,076","0,252","0,100","0,027","0,113"
      Carne não especificada,"2,040","3,315","1,420","0,589","0,649","1,174","1,361","1,377","5,609","3,055"
      Costela,"0,987","0,955","1,575","0,951","1,323","0,786","0,842","0,191","0,844","1,160"
      Músculo,"0,234","0,281","0,406","0,097","0,259","0,342","0,197","0,042","0,263","0,283"
      Pá,"0,137","0,104","0,024","0,019","0,415","0,222","0,236","0,021","0,184","0,115"
      Peito,"0,095","0,077","0,007","0,166","0,040","0,105","0,101",-,"0,112","0,104"
      Outras,"0,222","0,252","0,029","0,126","0,177","0,215","0,386","0,039","0,144","0,272"
   Carnes bovinas outras,"5,140","5,530","2,157","3,778","6,167","5,221","5,307","6,132","8,568","5,329"
      Carne de hambúrguer,"0,100","0,006","0,002","0,116","0,131","0,062","0,245","0,120","0,124","0,059"
      Carne de sol,"0,580","0,357","0,214","0,148","1,205","0,480","0,272","0,229","0,433","1,208"
      Carne moída não especificada,"0,258","0,228","0,093","0,448","0,649","0,312","0,268","0,100","0,077","0,144"
      Carne não especificada,"2,621","3,710","1,277","2,093","2,540","2,439","1,856","3,166","6,800","2,517"
