"Alimento","Região Centro Oeste","Mato Grosso do Sul",Mato Grosso,Goiás,Distrito Federal
      Frango empanado,"0,052","0,004","0,064","0,039","0,111"
      Massa,"0,513","0,747","0,218","0,427","0,838"
      Refeição,"0,759","1,878","0,540","0,516","0,563"
      Salgadinho,"0,241","0,312","0,201","0,240","0,228"
      Sanduíche,"0,090","0,127","0,016","0,090","0,140"
      Outros,"0,579","0,927","0,327","0,386","1,001"
   Misturas industriais,"0,386","0,381","0,345","0,389","0,432"
      Mistura para bolo,"0,381","0,374","0,341","0,388","0,417"
      Outras,"0,005","0,007","0,005","0,001","0,015"
Outros produtos,"0,013","0,003","0,006","0,015","0,026"
