"Alimento","Região Sudeste",Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo
   Outros laticínios,"3,436","3,227","2,443","2,976","3,793"
      Iogurte,"1,792","1,830","1,322","1,657","1,866"
      Leite fermentado,"1,215","0,982","0,696","0,871","1,499"
      Manteiga,"0,351","0,364","0,373","0,399","0,325"
      Outros,"0,078","0,051","0,052","0,049","0,103"
"Açúcares, doces e produtos de confeitaria","14,006","17,449","11,461","12,028","13,381"
   Açúcares,"10,434","14,559","9,522","9,328","9,022"
      Açúcar cristal,"5,489","12,403","7,578","1,965","3,440"
      Açúcar demerara,"0,126","0,072","0,112","0,111","0,158"
      Açúcar não especificado,"0,628","0,875","1,078","0,568","0,497"
      Açúcar refinado,"4,140","1,165","0,726","6,642","4,869"
      Outros,"0,050","0,044","0,027","0,042","0,058"
   Doces e produtos de confeitaria,"2,628","2,107","1,168","1,839","3,294"
      Bombom,"0,186","0,127","0,171","0,081","0,255"
      Chocolate em tablete,"0,272","0,144","0,101","0,186","0,379"
      Doce a base de leite,"0,078","0,183","0,085","0,042","0,042"
      Doce de fruta cristalizado,"0,006","0,016","0,003","0,002","0,003"
      Doce de fruta em calda,"0,026","0,012","0,034","0,030","0,030"
      Doce de fruta em pasta,"0,165","0,170","0,051","0,161","0,174"
      Rapadura,"0,024","0,092","0,009","0,005","0,000"
      Sorvete,"1,157","0,766","0,353","0,880","1,511"
      Outros,"0,714","0,596","0,361","0,452","0,899"
"   Outros açúcares, doces e produtos de confeitaria","0,944","0,783","0,771","0,860","1,066"
      Chocolate em pó,"0,787","0,655","0,505","0,742","0,890"
      Gelatina,"0,055","0,042","0,032","0,037","0,069"
      Mel de abelha,"0,031","0,017","0,018","0,020","0,043"
      Polpa de fruta,"0,064","0,066","0,215","0,057","0,053"
      Outros,"0,007","0,003",-,"0,005","0,010"
Sais e condimentos,"4,870","4,181","2,861","4,205","5,614"
   Sais,"1,406","1,472","1,242","1,478","1,362"
      Sal grosso,"0,092","0,088","0,061","0,097","0,094"
      Sal refinado,"1,265","1,362","1,136","1,339","1,203"
      Outros,"0,049","0,022","0,045","0,041","0,065"
   Condimentos,"3,464","2,709","1,619","2,727","4,251"
      Caldo de carne em tablete,"0,024","0,020","0,019","0,030","0,025"
      Caldo de galinha em tablete,"0,026","0,035","0,044","0,021","0,022"
      Outros caldos em tablete,"0,034","0,033","0,018","0,030","0,037"
      Colorau,"0,028","0,031","0,044","0,017","0,030"
      Fermento,"0,051","0,036","0,049","0,044","0,061"
      Leite de coco,"0,065","0,051","0,026","0,088","0,067"
      Maionese,"0,491","0,444","0,266","0,414","0,562"
      Massa de tomate,"0,318","0,412","0,101","0,367","0,274"
      Molho de tomate,"1,402","0,933","0,373","1,033","1,848"
      Tempero misto,"0,117","0,143","0,073","0,070","0,127"
      Vinagre de álcool,"0,199","0,076","0,155","0,157","0,275"
      Vinagre de vinho,"0,077","0,026","0,018","0,060","0,112"
      Vinagre não especificado,"0,183","0,130","0,181","0,145","0,222"
      Outros,"0,448","0,339","0,252","0,250","0,590"
Óleos e gorduras,"7,197","7,432","5,531","7,110","7,267"
   Óleos,"5,864","6,479","4,812","5,492","5,812"
      Azeite de oliva,"0,409","0,195","0,294","0,521","0,475"
      Óleo de girassol,"0,127","0,168","0,078","0,122","0,115"
      Óleo de canola,"0,075",-,"0,011","0,132","0,093"
      Óleo de milho,"0,154","0,163","0,082","0,092","0,179"
      Óleo de soja,"4,967","5,881","4,030","4,373","4,851"
