"Alimento", "Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
"   Outros açúcares, doces e produtos de confeitaria","0,944","0,534","0,706","0,905","0,957","1,562","1,642"
      Chocolate em pó,"0,787","0,468","0,608","0,759","0,871","1,220","1,191"
      Gelatina,"0,055","0,034","0,036","0,061","0,042","0,058","0,127"
      Mel de abelha,"0,031","0,007","0,038","0,022","0,013","0,052","0,119"
      Polpa de fruta,"0,064","0,025","0,019","0,059","0,028","0,195","0,194"
      Outros,"0,007",-,"0,005","0,004","0,004","0,036","0,012"
Sais e condimentos,"4,870","4,191","3,667","4,693","5,301","5,843","7,227"
   Sais,"1,406","1,678","1,259","1,292","1,515","1,169","1,713"
      Sal grosso,"0,092","0,014","0,081","0,082","0,144","0,078","0,188"
      Sal refinado,"1,265","1,611","1,157","1,182","1,268","0,992","1,504"
      Outros,"0,049","0,053","0,021","0,028","0,103","0,099","0,021"
   Condimentos,"3,464","2,513","2,408","3,401","3,786","4,674","5,514"
      Caldo de carne em tablete,"0,024","0,013","0,020","0,029","0,018","0,026","0,042"
      Caldo de galinha em tablete,"0,026","0,022","0,025","0,032","0,021","0,019","0,026"
      Outros caldos em tablete,"0,034","0,028","0,019","0,030","0,020","0,031","0,126"
      Colorau,"0,028","0,026","0,033","0,038","0,024","0,012","0,010"
      Fermento,"0,051","0,037","0,055","0,051","0,043","0,066","0,072"
      Leite de coco,"0,065","0,016","0,029","0,082","0,049","0,082","0,170"
      Maionese,"0,491","0,341","0,359","0,465","0,606","0,655","0,701"
      Massa de tomate,"0,318","0,267","0,293","0,336","0,309","0,335","0,374"
      Molho de tomate,"1,402","0,954","0,968","1,440","1,512","2,026","1,997"
      Tempero misto,"0,117","0,079","0,154","0,075","0,153","0,091","0,242"
      Vinagre de álcool,"0,199","0,095","0,088","0,203","0,262","0,224","0,409"
      Vinagre de vinho,"0,077","0,122","0,019","0,089","0,083","0,069","0,051"
      Vinagre não especificado,"0,183","0,133","0,079","0,215","0,197","0,135","0,350"
      Outros,"0,448","0,379","0,267","0,317","0,489","0,903","0,945"
Óleos e gorduras,"7,197","6,154","6,368","7,579","7,630","8,172","7,031"
   Óleos,"5,864","5,001","5,183","6,217","6,217","6,568","5,671"
      Azeite de oliva,"0,409","0,099","0,174","0,282","0,434","0,931","1,370"
      Óleo de girassol,"0,127","0,002","0,102","0,091","0,209","0,127","0,367"
      Óleo de canola,"0,075",-,-,"0,053",-,"0,324","0,364"
      Óleo de milho,"0,154","0,088","0,108","0,074","0,224","0,424","0,275"
      Óleo de soja,"4,967","4,677","4,753","5,557","5,264","4,637","3,012"
      Óleo não especificado,"0,076","0,127","0,013","0,104","0,053","0,049","0,074"
      Outros,"0,056","0,009","0,034","0,056","0,033","0,075","0,209"
   Gorduras,"1,333","1,153","1,185","1,362","1,413","1,604","1,360"
      Banha de porco,"0,062","0,080","0,052","0,071","0,057","0,029","0,053"
      Margarina vegetal,"1,269","1,070","1,132","1,289","1,349","1,575","1,307"
      Outras,"0,003","0,002","0,001","0,002","0,008",-,-
Bebidas e infusões,"47,412","18,618","27,025","38,233","57,973","87,619","112,757"
   Bebidas alcoólicas,"7,996","3,024","4,169","6,147","9,632","17,402","18,980"
      Aguardente de cana,"0,171","0,239","0,248","0,156","0,081","0,165","0,178"
      Outras aguardentes,"0,002",-,-,"0,005",-,-,-
      Cerveja,"7,031","2,653","3,755","5,531","8,935","14,541","15,706"
      Vinho,"0,603","0,105","0,113","0,313","0,542","2,075","2,336"
      Outras,"0,189","0,028","0,052","0,142","0,075","0,621","0,760"
   Bebidas não alcoólicas,"36,510","13,215","20,465","29,179","45,586","66,972","88,961"
      Água mineral,"15,670","3,995","7,865","9,729","20,929","28,668","51,956"
      Refrigerante de cola,"7,867","3,051","5,095","7,233","10,202","13,778","13,198"
      Refrigerante de guaraná,"4,280","2,123","2,575","4,630","4,871","7,304","5,482"
